"","ymd_hms","temp_c","humid_perc","site","nest","Timestamp.for.sample.frequency.every.1.min.min","time","date","obs_date","obs_start_time","obs_end_time","HD","filter_last_day"
"138",2021-06-26 10:15:00,21.7,49.4,"bluecloud","17",NA,10H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"139",2021-06-26 10:30:00,21,50,"bluecloud","17",NA,10H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"140",2021-06-26 10:45:00,20.7,52.7,"bluecloud","17",NA,10H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"141",2021-06-26 11:00:00,20.8,55.4,"bluecloud","17",NA,11H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"142",2021-06-26 11:15:00,21.2,55.9,"bluecloud","17",NA,11H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"143",2021-06-26 11:30:00,21.2,55.1,"bluecloud","17",NA,11H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"144",2021-06-26 11:45:00,21.2,55.4,"bluecloud","17",NA,11H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"145",2021-06-26 12:00:00,21.6,53.5,"bluecloud","17",NA,12H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"146",2021-06-26 12:15:00,21.5,52.1,"bluecloud","17",NA,12H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"147",2021-06-26 12:30:00,21.7,52.2,"bluecloud","17",NA,12H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
